exp,wks,occ,ind,south,smsa,ms,fem,union,ed,blk,lwage,unit,time
3,32,0,0,1,0,1,0,0,9,0,5.5607,1,1
4,43,0,0,1,0,1,0,0,9,0,5.7203,1,2
5,40,0,0,1,0,1,0,0,9,0,5.9965,1,3
6,39,0,0,1,0,1,0,0,9,0,5.9965,1,4
7,42,0,1,1,0,1,0,0,9,0,6.0615,1,5
8,35,0,1,1,0,1,0,0,9,0,6.1738,1,6
9,32,0,1,1,0,1,0,0,9,0,6.2442,1,7
30,34,1,0,0,0,1,0,0,11,0,6.1633,2,1
31,27,1,0,0,0,1,0,0,11,0,6.2146,2,2
32,33,1,1,0,0,1,0,1,11,0,6.2634,2,3
33,30,1,1,0,0,1,0,0,11,0,6.5439,2,4
34,30,1,1,0,0,1,0,0,11,0,6.6970,2,5
35,37,1,1,0,0,1,0,0,11,0,6.7912,2,6
36,30,1,1,0,0,1,0,0,11,0,6.8156,2,7
6,50,1,1,0,0,1,0,1,12,0,5.6525,3,1
7,51,1,1,0,0,1,0,1,12,0,6.4361,3,2
8,50,1,1,0,0,1,0,1,12,0,6.5482,3,3
9,52,1,1,0,0,1,0,1,12,0,6.6026,3,4
10,52,1,1,0,0,1,0,1,12,0,6.6958,3,5
11,52,1,1,0,0,0,0,1,12,0,6.7788,3,6
12,46,1,1,0,0,0,0,1,12,0,6.8607,3,7
31,52,1,0,0,1,0,1,0,10,1,6.1570,4,1
32,46,1,0,0,1,0,1,0,10,1,6.2383,4,2
33,46,1,0,0,1,0,1,0,10,1,6.3008,4,3
34,49,1,0,0,1,0,1,0,10,1,6.3596,4,4
35,44,1,0,0,1,0,1,0,10,1,6.4692,4,5
36,52,1,0,0,1,0,1,0,10,1,6.5624,4,6
37,46,1,0,0,1,0,1,0,10,1,6.6214,4,7
10,50,1,0,0,0,1,0,1,16,0,6.4378,5,1
11,46,1,0,0,0,1,0,1,16,0,6.6201,5,2
